Amount,Merchant,Timestamp,Description,Category
19.5,Train,2023-11-01T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2023-11-01T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2023-11-02T16:00:00Z,New books,Shopping
140,Electricity,2023-11-03T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2023-11-03T12:00:00Z,Morning smoothie,Food
28,Bus,2023-11-04T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2023-11-04T11:00:00Z,Streaming service,Subscription
110,Home Goods,2023-11-05T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2023-11-06T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2023-11-06T14:00:00Z,Pastries,Food
12,Cab,2023-11-07T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2023-11-07T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2023-11-08T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2023-11-09T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2023-11-09T10:00:00Z,Morning coffee,Food
20,Public Transport,2023-11-10T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2023-11-10T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2023-11-11T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2023-11-12T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2023-11-12T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2023-11-13T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2023-11-13T16:00:00Z,Family music subscription,Subscription
65,Target,2023-11-14T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2023-11-15T09:00:00Z,Monthly fee,Utilities
7,Cafe,2023-11-15T14:00:00Z,Afternoon coffee,Food
31,Train Services,2023-11-16T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2023-11-16T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2023-11-17T15:00:00Z,New sweater,Shopping
90,Gas Bill,2023-11-18T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2023-11-18T19:00:00Z,Dinner,Food
25,Bus Service,2023-11-19T07:30:00Z,Bus fare,Transport
15.99,Netflix,2023-11-19T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2023-11-20T16:00:00Z,New phone case,Shopping
115,City Utilities,2023-11-21T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2023-11-21T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2023-11-22T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2023-11-22T13:00:00Z,Music subscription,Subscription
100,Amazon,2023-11-23T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2023-11-24T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2023-11-24T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2023-11-25T07:40:00Z,Weekly pass,Transport
8.99,Audible,2023-11-25T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2023-11-26T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2023-11-27T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2023-11-27T12:30:00Z,Quick lunch,Food
14,Uber,2023-11-28T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2023-11-28T10:00:00Z,Online news subscription,Subscription
150,Department Store,2023-11-29T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2023-11-30T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2023-11-30T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2023-12-01T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2023-12-01T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2023-12-02T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2023-12-02T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2023-12-03T09:10:00Z,Utility bill for December,Utilities
4.5,Coffee Shop C,2023-12-03T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2023-12-04T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2023-12-04T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2023-12-05T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2023-12-06T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2023-12-06T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2023-12-07T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2023-12-07T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2023-12-08T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2023-12-08T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2023-12-09T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2023-12-10T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2023-12-10T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2023-12-11T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2023-12-11T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2023-12-12T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2023-12-13T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2023-12-13T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2023-12-14T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2023-12-14T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2023-12-15T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2023-12-15T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2023-12-16T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2023-12-16T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2023-12-17T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2023-12-18T09:00:00Z,Combined utility bill,Utilities
4,Deli,2023-12-18T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2023-12-19T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2023-12-19T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2023-12-20T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2023-12-21T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2023-12-21T20:00:00Z,Takeout dinner,Food
11.5,Uber,2023-12-22T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2023-12-22T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2023-12-23T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2023-12-24T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2023-12-24T14:00:00Z,Quick snack,Food
20,Public Transport,2023-12-25T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2023-12-25T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2023-12-26T16:00:00Z,New jacket,Shopping
90,Gas Bill,2023-12-27T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2023-12-27T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2023-12-28T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2023-12-28T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2023-12-29T15:00:00Z,New headphones,Shopping
115,City Utilities,2023-12-30T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2023-12-30T11:00:00Z,Morning smoothie,Food
18,Uber,2023-12-31T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2023-12-31T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2024-01-01T14:00:00Z,Handmade gift,Shopping
140,Power Company,2024-01-02T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2024-01-02T16:00:00Z,Afternoon snack,Food
25,Bus Service,2024-01-03T07:30:00Z,Bus fare,Transport
16.99,Peacock,2024-01-03T12:00:00Z,TV streaming service,Subscription
100,Amazon,2024-01-04T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2024-01-05T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2024-01-05T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2024-01-06T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2024-01-06T16:00:00Z,Streaming subscription,Subscription
65,Target,2024-01-07T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2024-01-08T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2024-01-08T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2024-01-09T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2024-01-09T12:00:00Z,Music subscription,Subscription
70,Home Goods,2024-01-10T16:00:00Z,New lamp,Shopping
130,Electric Company,2024-01-11T09:00:00Z,Utility bill,Utilities
7,Cafe,2024-01-11T11:00:00Z,Morning coffee,Food
11,Uber,2024-01-12T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2024-01-12T13:00:00Z,Streaming service,Subscription
80,Bookstore,2024-01-13T10:00:00Z,Books,Shopping
105,Water Bill,2024-01-14T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2024-01-14T12:00:00Z,Lunch,Food
17,Bus Pass,2024-01-15T08:00:00Z,Weekly pass,Transport
8.99,Audible,2024-01-15T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2024-01-16T15:00:00Z,Groceries,Food
125,Clothing Store,2024-01-17T10:00:00Z,New jeans,Shopping
85,Internet Provider,2024-01-18T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2024-01-18T19:00:00Z,Pizza,Food
14,Taxi,2024-01-19T11:00:00Z,Cab fare,Transport
19.99,Spotify,2024-01-19T14:00:00Z,Premium music service,Subscription
90,Home Decor,2024-01-20T16:00:00Z,New curtains,Shopping
115,Utilities,2024-01-21T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2024-01-21T10:00:00Z,Coffee,Food
18.5,Metro,2024-01-22T08:00:00Z,Subway fare,Transport
15.99,Netflix,2024-01-22T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2024-01-23T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2024-01-24T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2024-01-24T19:00:00Z,Dinner,Food
22,Bus Fare,2024-01-25T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2024-01-25T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2024-01-26T16:00:00Z,New jacket,Shopping
130,Internet Bill,2024-01-27T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2024-01-27T11:00:00Z,Pastries,Food
13,Uber,2024-01-28T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2024-01-28T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2024-01-29T15:00:00Z,Running shorts,Shopping
95,Water Bill,2024-01-30T09:00:00Z,Quarterly bill,Utilities
3,Snack,2024-01-30T14:00:00Z,Chips and soda,Food
19.5,Train,2024-01-31T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2024-01-31T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2024-02-01T16:00:00Z,New books,Shopping
140,Electricity,2024-02-02T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2024-02-02T12:00:00Z,Morning smoothie,Food
28,Bus,2024-02-03T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2024-02-03T11:00:00Z,Streaming service,Subscription
110,Home Goods,2024-02-04T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2024-02-05T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2024-02-05T14:00:00Z,Pastries,Food
12,Cab,2024-02-06T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2024-02-06T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2024-02-07T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2024-02-08T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2024-02-08T10:00:00Z,Morning coffee,Food
20,Public Transport,2024-02-09T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2024-02-09T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2024-02-10T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2024-02-11T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2024-02-11T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2024-02-12T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2024-02-12T16:00:00Z,Family music subscription,Subscription
65,Target,2024-02-13T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2024-02-14T09:00:00Z,Monthly fee,Utilities
7,Cafe,2024-02-14T14:00:00Z,Afternoon coffee,Food
31,Train Services,2024-02-15T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2024-02-15T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2024-02-16T15:00:00Z,New sweater,Shopping
90,Gas Bill,2024-02-17T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2024-02-17T19:00:00Z,Dinner,Food
25,Bus Service,2024-02-18T07:30:00Z,Bus fare,Transport
15.99,Netflix,2024-02-18T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2024-02-19T16:00:00Z,New phone case,Shopping
115,City Utilities,2024-02-20T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2024-02-20T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2024-02-21T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2024-02-21T13:00:00Z,Music subscription,Subscription
100,Amazon,2024-02-22T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2024-02-23T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2024-02-23T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2024-02-24T07:40:00Z,Weekly pass,Transport
8.99,Audible,2024-02-24T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-02-25T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2024-02-26T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2024-02-26T12:30:00Z,Quick lunch,Food
14,Uber,2024-02-27T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2024-02-27T10:00:00Z,Online news subscription,Subscription
150,Department Store,2024-02-28T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2024-02-29T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2024-02-29T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2024-03-01T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2024-03-01T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2024-03-02T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2024-03-02T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2024-03-03T09:10:00Z,Utility bill for March,Utilities
4.5,Coffee Shop C,2024-03-03T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2024-03-04T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2024-03-04T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2024-03-05T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2024-03-06T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2024-03-06T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2024-03-07T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2024-03-07T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2024-03-08T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2024-03-08T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2024-03-09T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2024-03-10T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2024-03-10T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2024-03-11T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2024-03-11T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2024-03-12T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2024-03-13T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2024-03-13T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2024-03-14T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2024-03-14T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2024-03-15T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2024-03-15T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2024-03-16T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2024-03-16T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-03-17T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2024-03-18T09:00:00Z,Combined utility bill,Utilities
4,Deli,2024-03-18T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2024-03-19T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2024-03-19T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2024-03-20T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2024-03-21T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2024-03-21T20:00:00Z,Takeout dinner,Food
11.5,Uber,2024-03-22T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2024-03-22T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2024-03-23T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2024-03-24T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2024-03-24T14:00:00Z,Quick snack,Food
20,Public Transport,2024-03-25T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2024-03-25T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2024-03-26T16:00:00Z,New jacket,Shopping
90,Gas Bill,2024-03-27T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2024-03-27T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2024-03-28T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2024-03-28T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2024-03-29T15:00:00Z,New headphones,Shopping
115,City Utilities,2024-03-30T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2024-03-30T11:00:00Z,Morning smoothie,Food
18,Uber,2024-03-31T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2024-03-31T12:00:00Z,Entertainment subscription,Subscription
7.5,Starbucks,2024-04-01T08:30:00Z,Morning coffee run,Food
15,Uber,2024-04-01T10:15:00Z,Ride to the office,Transport
15.99,Netflix,2024-04-02T08:00:00Z,Monthly subscription charge,Subscription
85,Home Depot,2024-04-02T15:45:00Z,Gardening supplies,Shopping
110,Power Company,2024-04-03T09:00:00Z,Electric bill,Utilities
12.5,Subway,2024-04-03T13:00:00Z,Lunch sandwich,Food
28,Train Services,2024-04-04T07:50:00Z,Commuter rail ticket,Transport
19.99,Spotify,2024-04-04T12:00:00Z,Premium music service,Subscription
75,H&M,2024-04-05T17:30:00Z,New clothes for spring,Shopping
95,Water & Sewer Dept,2024-04-06T10:30:00Z,Quarterly water bill,Utilities
5.25,Local Bakery,2024-04-06T11:00:00Z,Croissants for breakfast,Food
18,Lyft,2024-04-07T09:00:00Z,Ride to the gym,Transport
8.99,Hulu,2024-04-07T14:00:00Z,Monthly streaming fee,Subscription
130,Best Buy,2024-04-08T16:00:00Z,New headphones,Shopping
100,Phone Company,2024-04-09T09:15:00Z,Monthly phone bill,Utilities
9,Taco Bell,2024-04-09T19:00:00Z,Quick dinner,Food
25,Metro,2024-04-10T07:45:00Z,Weekly metro pass,Transport
10.99,Audible,2024-04-10T11:30:00Z,Audiobook subscription,Subscription
60,Bookstore,2024-04-11T12:00:00Z,New novel and a journal,Shopping
120,Internet Provider,2024-04-12T09:00:00Z,Monthly internet service,Utilities
6.5,Local Cafe,2024-04-12T15:30:00Z,Coffee and a scone,Food
11.5,Uber,2024-04-13T08:45:00Z,Ride to the bus station,Transport
15.99,Disney+,2024-04-13T13:00:00Z,Streaming service fee,Subscription
150,Target,2024-04-14T10:00:00Z,Household goods and groceries,Shopping
130,Gas & Electric,2024-04-15T09:00:00Z,Combined utility bill,Utilities
